Number,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24hr), 1h, 24h, 7d
1,Bitcoin,BTC,1.50702985544e+11,8940.74,16855762.0,8103300000.0,-0.63,11.22,3.58
2,Ethereum,ETH,87546972836.0,897.729,97520490.9678,3062570000.0,-0.41,11.99,-0.25
3,Ripple,XRP,40627708203.1,1.04149,39009215838.0,2504810000.0,-0.37,32.86,23.94
4,Bitcoin Cash,BCH,22946391403.0,1353.04,16959137.5,1149550000.0,0.11,7.89,18.32
5,Cardano,ADA,11637287829.8,0.448847,25927070538.0,760372000.0,-0.71,27.62,23.61
6,Litecoin,LTC,9109557125.13,165.179,55149608.1531,769065000.0,-1.62,13.37,28.81
7,Stellar,XLM,8047185801.86,0.436583,18432201441.3,212032000.0,0.05,21.88,14.83
8,NEO,NEO,7740330000.0,119.082,65000000.0,304126000.0,-1.08,6.72,2.78
9,EOS,EOS,6547180860.33,9.92927,659381894.171,606048000.0,-1.05,19.34,6.47
10,IOTA,MIOTA,5585632875.51,2.00956,2779530283.0,59312900.0,-0.29,15.06,14.81
11,NEM,XEM,5516504999.39,0.612945,8999999999.0,75265600.0,-0.73,14.66,10.43
12,Dash,DASH,5210212761.8,661.606,7875099.01936,110256000.0,0.00,12.34,15.89
13,Monero,XMR,4181761227.38,266.286,15704022.0942,85910600.0,-0.14,11.00,14.78
14,TRON,TRX,3550948103.67,0.0540083,65748192475.5,462272000.0,-0.79,51.31,40.50
15,Lisk,LSK,3515094194.13,29.8126,117906328.0,126825000.0,-2.02,25.47,43.60
16,Bitcoin Gold,BTG,2739809865.64,162.937,16815148.589,106877000.0,-1.61,45.68,54.81
17,Ethereum Classic,ETC,2592309823.58,25.9893,99745273.0,386020000.0,-0.83,16.59,16.57
18,Qtum,QTUM,2411725389.92,32.648,73870540.0,506665000.0,-2.18,10.36,15.75
19,Tether,USDT,2229179888.14,1.00543,2217140813.52,2196860000.0,0.45,-0.29,1.00
20,VeChain,VEN,2210556738.64,4.74301,466066219.266,57655300.0,0.32,14.07,-1.95
21,ICON,ICX,1732902951.59,4.5424,381495014.0,51529600.0,-1.99,8.22,-11.03
22,Zcash,ZEC,1608221210.77,495.511,3245581.25,129194000.0,-1.65,20.49,35.12
